transaction_id,ground_truth_status,ground_truth_reason,expected_exception_category
TXN9061,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9062,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9063,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9064,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9065,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9066,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9067,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9068,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9069,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9070,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9071,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9072,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9073,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9074,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9075,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9076,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9077,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9078,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9079,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9080,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9081,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9082,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9083,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9084,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9085,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9086,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9087,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9088,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9089,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9090,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9091,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9092,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9093,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9094,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9095,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9096,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9097,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9098,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9099,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9100,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9101,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9102,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9103,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9104,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9105,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9106,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9107,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9108,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9109,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9110,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9111,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9112,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9113,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9114,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9115,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9116,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9117,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9118,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9119,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9120,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9121,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9122,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9123,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9124,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9125,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9126,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9127,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9128,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9129,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9130,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9131,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9132,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9133,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9134,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9135,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9136,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9137,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9138,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9139,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9140,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9141,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9142,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9143,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9144,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9145,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9146,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9147,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9148,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9149,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9150,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9151,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9152,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9153,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9154,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9155,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9156,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9157,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9158,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9159,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9160,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9161,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9162,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9163,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9164,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9165,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9166,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9167,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9168,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9169,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9170,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9171,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9172,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9173,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9174,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9175,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9176,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9177,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9178,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9179,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9180,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9181,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9182,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9183,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9184,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9185,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9186,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9187,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9188,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9189,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9190,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9191,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9192,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9193,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9194,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9195,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9196,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9197,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9198,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9199,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9200,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9201,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9202,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9203,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9204,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9205,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9206,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9207,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9208,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9209,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9210,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9211,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9212,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9213,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9214,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9215,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9216,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9217,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9218,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9219,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9220,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9221,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9222,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9223,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9224,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9225,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9226,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9227,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9228,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9229,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9230,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9231,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9232,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9233,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9234,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9235,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9236,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9237,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9238,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9239,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9240,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9241,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9242,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9243,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9244,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9245,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9246,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9247,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9248,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9249,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9250,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9251,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9252,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9253,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9254,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9255,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9256,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9257,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9258,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9259,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9260,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9261,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9262,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9263,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9264,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9265,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9266,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9267,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9268,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9269,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9270,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9271,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9272,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9273,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9274,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9275,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9276,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9277,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9278,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9279,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9280,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9281,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9282,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9283,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9284,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9285,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9286,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9287,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9288,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9289,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9290,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9291,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9292,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9293,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9294,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9295,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9296,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9297,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9298,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9299,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9300,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9301,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9302,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9303,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9304,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9305,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9306,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9307,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9308,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
